No.,문항,구분
385,나는 감정 조절을 못해서 돌발적으로 감정이 폭발하기도 한다.,LCSI
386,나는 내 자신에 대하여 만족한다.,LCSI
387,나는 어딘가를 갈 때 새 길보다는 늘 가던 길이 편하다.,LCSI
388,나는 능력이 부족하다고 생각해 일을 시작조차 못해 본 적이 있다.,LCSI
389,나는 특정 주제나 일 중심의 대화를 선호한다.,LCSI
390,나는 다양한 사람들과 폭 넓은 우정을 맺는다.,LCSI
391,나는 남을 비판하거나 거절하는 것이 어렵다.,LCSI
392,나는 집중력이 부족하고 주의가 산만하다.,LCSI
393,나는 주위 사람들로부터 성격이 급하다는 말을 듣는다.,LCSI
394,나는 내 자신이 쓸모없는 사람이라는 느낌이 든다.,LCSI
395,나는 무언가 새로 만드는 것을 좋아한다.,LCSI
396,나는 다른 사람들과 논쟁하는 것이 두렵지 않다.,LCSI
397,나는 말이 없고 조용하다.,LCSI
398,나는 가족 중에 다혈질적인 사람이 있다.,LCSI
399,나는 문제가 생길 때 논리적으로 따지기가 어렵다.,LCSI
400,나는 철저한 준비와 계획을 세운 후에 일에 착수한다.,LCSI
401,나는 문제가 생기면 가슴이 답답하고 두근거린다.,LCSI
402,나는 갈등 관계에 있는 사람들 사이에 끼어들어 중재하는 역할을 잘 한다.,LCSI
403,나는 여행을 갈 때는 처음 가보는 곳보다는 이미 알고 있는 익숙한 곳으로 간다.,LCSI
404,나는 조용하고 은은한 음식점이 좋다.,LCSI
405,나는 내 마음을 드러내지 않는다.,LCSI
406,나는 상대방의 의견을 주로 듣는다.,LCSI
407,나는 반복적인 일에 대해서 싫증을 잘 낸다.,LCSI
408,나는 감정조절을 잘 못해 후회하는 경우가 종종 있다.,LCSI
409,나는 다른 사람들의 문제를 해결해 주는데 지나친 책임감을 느낀다.,LCSI
410,나는 유별나게 보이는 것을 두려워한다.,LCSI
411,나는 많은 생각을 필요로 하는 일에 매력을 느낀다.,LCSI
412,나는 냉정하다는 말을 듣는다.,LCSI
413,"나는 대화할 때 표정, 몸짓, 동작 등이 자연스럽게 나온다.",LCSI
414,나는 공격적 성향이 강하다.,LCSI
415,나는 일하는 것을 좋아하고 중요시한다.,LCSI
416,나는 성급하다는 말을 듣는다.,LCSI
417,나는 남의 미움을 받을 만한 성격의 소유자이다.,LCSI
418,나는 가끔 게으르다고 생각한다.,LCSI
419,나는 일반적인 관습에 따라 일을 처리한다.,LCSI
420,나는 다른 사람을 변화시키려고 시도한다.,LCSI
421,나는 매사에 진지하여 농담을 잘 못한다.,LCSI
422,나는 합리적이고 논리 정연한 사람과 함께 하는 것이 편하다.,LCSI
423,나는 생각을 많이 하고 나서 행동한다.,LCSI
424,나는 그럴만한 상황이 아닌 때에도 경쟁심을 느낀다.,LCSI
425,나는 내 성격에 문제가 있다고 생각한다.,LCSI
426,나는 독창적인 방법으로 일처리하기를 좋아한다.,LCSI
427,나는 독립적으로 생각하고 결정한다.,LCSI
428,나는 때때로 다른 사람에게 화풀이를 하고 싶다.,LCSI
429,나는 사람을 사귀는데 시간이 걸린다.,LCSI
430,나는 인간관계에서 충돌을 피한다.,LCSI
431,나는 생각을 충분히 하기 보다는 즉흥적으로 행동한다.,LCSI
432,나는 다른 사람들에 대해 질투가 많다.,LCSI
433,나는 기준을 명확히 하고 일관성 있게 행동한다.,LCSI
434,나는 늘 다니던 길보다는 새로운 길을 찾아내는 것이 재미있다.,LCSI
435,나는 자기 주장이 없는 사람을 무시한다.,LCSI
436,나는 사람들이 모여 있을 때 주로 내가 다른 사람을 소개한다.,LCSI
437,나는 억울한 상황에서도 내 주장을 하기가 어렵다.,LCSI
438,나는 가끔 머리가 나쁘다고 생각한다.,LCSI
439,나는 다른 사람에 비해 신중하고 침착하다.,LCSI
440,나는 쉽게 친해지지 못한다.,LCSI
441,나는 자랑할 것이 별로 없다.,LCSI
442,나는 어떤 새로운 일을 처음 시작하는 것에 매력을 느낀다.,LCSI
443,나는 누군가를 만날 때는 조용한 곳에서 만나고 싶다.,LCSI
444,나는 친목회나 회식모임을 좋아한다.,LCSI
445,나는 자신감을 길러야 한다.,LCSI
446,나는 성실하고 묵묵히 노력한다.,LCSI
447,나는 다른 사람을 즐겁게 해주려고 지나치게 노력한다.,LCSI
448,나는 가끔 뒤에서 다른 사람을 욕한다.,LCSI
449,나는 다양한 사람들을 대하는 방법을 잘 알고 있다.,LCSI
450,나는 낯선 곳보다는 친숙한 곳에서 여가시간을 보내기 좋아한다.,LCSI
451,나는 다른 사람의 말을 들을 때 따져보고 듣는다.,LCSI
452,나는 사람들과 함께 모이면 분위기를 만들어 가는데 적극적이다.,LCSI
453,나는 직선적으로 대응하는 방식을 선호한다.,LCSI
454,나는 인내심이나 지구력이 부족하다.,LCSI
455,나는 다른 사람들이 나를 좋아하고 인정해 주기를 지나치게 원한다.,LCSI
456,나는 혼자서 즐기며 쉰다.,LCSI
457,나는 상상하는 것이 즐겁다.,LCSI
458,나는 불리한 상황에서 곤란한 것은 숨긴다.,LCSI
459,나는 결정짓고 결론을 제시한다.,LCSI
460,나는 환경변화에 적응을 잘하고 새로운 변화를 추구한다.,LCSI
461,나는 과격하거나 자극적인 단어 사용을 자제한다.,LCSI
462,나는 인내심과 참을성이 강하다.,LCSI
463,나는 어떤 일을 결정해야 할 때 빨리 결정할 수 있다.,LCSI
464,나는 내가 아닌 다른 사람이 되었으면 좋겠다고 생각한다.,LCSI
465,나는 철학적인 논쟁을 좋아하지 않는다.,LCSI
466,나는 냉철한 판단력을 지녔다.,LCSI
467,나는 대인관계의 유연성이 부족하다.,LCSI
468,나는 왠지 모르게 짜증이 날 때가 있다.,LCSI
469,나는 결단력을 좀더 길러야 한다.,LCSI
470,나는 참을성과 끈기가 부족해서 끝마무리를 잘 하지 못할 때가 있다.,LCSI
471,나는 다른 사람의 일을 간섭하지 않고 내버려 두기가 어렵다.,LCSI
472,나는 나에 대해 잘 모르겠다는 생각이 든다.,LCSI
473,나는 공상으로 시간 보내기를 좋아하지 않는다.,LCSI
474,나는 내 개인적인 일을 다른 사람에게 너무 많이 이야기한다.,LCSI
475,"나는 놀기를 좋아하며 오락, 잡기에 능하다.",LCSI
476,나는 온순하고 부드럽다.,LCSI
477,나는 절제력이 강하다.,LCSI
478,나는 다른 사람에 비해 가족에게 더 함부로 하는 경향이 있다.,LCSI
479,나는 작은 일에도 신경을 쓴다.,LCSI
480,나는 여가시간에 혼자 할 수 있는 조용한 활동을 즐긴다.,LCSI
481,나는 이야기 속의 주인공이 되어 상상해보기를 좋아한다.,LCSI
482,나는 객관적 사실에 근거한 논리적 사고를 한다.,LCSI
483,나는 긍정적이며 낙천적이다.,LCSI
484,나는 목소리가 크고 과격하다.,LCSI
485,나는 자신을 잘 다스린다.,LCSI
486,나는 어떤 일에 대해 의사결정이 빠르고 결단력이 강하다.,LCSI
487,나는 어떤 문제가 있을 때에 직면하기보다는 회피한다.,LCSI
488,나는 누군가 잔소리하면 일하기가 더 싫어진다.,LCSI
489,나는 공상보다는 현실적인 생각을 더 많이 한다.,LCSI
490,"나는 대의명분, 목표에 집착할 때 비정한 면을 보인다.",LCSI
491,나는 개인적인 내용을 다른 사람들에게 말하기 어렵다.,LCSI
492,나는 다른 사람의 얘기를 끝까지 잘 들어주는 편이다.,LCSI
493,나는 말로 하는만큼 행동이 따라주지 않을 때가 있다.,LCSI
494,나는 다른 사람의 비판을 무시하기가 어렵다.,LCSI
495,나는 내가 좋지 않은 사람이라고 생각한다.,LCSI
496,나는 예술작품을 감상할 때 깊은 감동을 느낀다.,LCSI
497,나는 승부욕이 강한 사람이다.,LCSI
498,나는 때때로 이 세상에서 무엇을 할 수 있을지 의심이 든다.,LCSI
499,나는 목소리가 작고 톤이 낮다.,LCSI
500,나는 남이 듣기 싫은 소리를 못한다.,LCSI
501,나는 일 처리를 치밀하고 완벽하게 한다.,LCSI
502,나는 중재역할을 하는 경우가 많다.,LCSI
503,나는 좋은 성품을 가졌다고 생각한다.,LCSI
504,나는 예술적인 것에 그다지 관심이 없다.,LCSI
505,나는 객관적인 비판을 잘한다.,LCSI
506,나는 평소에 이야기할 때 농담이나 여담을 많이 한다.,LCSI
507,나는 내 권리를 주장할 때도 다른 사람의 감정을 상하게 하지 않을까 염려한다.,LCSI
508,나는 걱정거리 때문에 이따금씩 마음이 무겁다.,LCSI
509,나는 계획성이나 신중함이 부족해서 실수를 잘 한다.,LCSI
510,나는 자연의 모습에 마음이 끌릴 때가 많다.,LCSI
511,나는 사람들에게 나 자신을 너무 많이 공개한다.,LCSI
512,나는 나서는 걸 싫어한다.,LCSI
513,나는 남을 잘 이해하고 수용해주는 편이다.,LCSI
514,나는 지속적인 끈기를 발휘하는 성취지향적 인간이다.,LCSI
515,나는 발레나 현대무용을 보면 지루해진다.,LCSI
516,나는 모르는 사람을 만나는 것이 거북하다.,LCSI
517,나는 화가 날 때 표면적으로 나타내지 않고 내면으로 삭인다.,LCSI
518,나는 힘든 일은 피하고 싶다.,LCSI
519,나는 일을 체계와 원칙에 따라 진행한다.,LCSI
520,나는 추상적인 개념에 대해서 깊이 생각하는 편이다.,LCSI
521,나는 누구하고나 어떤 상황에서도 대화를 쉽게 나눈다.,LCSI
522,나는 추상적인 주제로 대화하는 것을 좋아하지 않는다.,LCSI
523,나는 친구를 사귀기가 어렵다.,LCSI
524,나는 상상의 나라를 펼치기 좋아한다.,LCSI
525,나는 여러 사람이 모인 집단에 같이 어울리기가 어렵다.,LCSI
526,나는 인간의 본질과 같은 형이상학적 문제를 생각하는 데는 관심이 없다.,LCSI
527,나는 합리적이고 논리적인 사람이 좋다.,LCSI
528,나는 이론적인 문제에 관해 생각하기를 좋아한다.,LCSI
529,아래 네 가지 설명 중 당신은 어디에 가깝다고 생각하십니까?,LCSI
530,"	자신감이 강하며 상황판단이 빠르다. 불합리하거나 비논리적이라 판단하면 수용하지 않는다. 자신의 주장을 펼 때 객관적 자료나 근거를 중요시하며 논리적으로 설득하는 것을 좋아한다. 설명이 반복되거나 장황하면 짜증난다. 상대방에 대한 긍정적 경청보다는 자기중심적 판단을 한다. 우유부단한 것과 집착 중 차이가 크고 말투가 직설적이다. 애매모호하거나 우회적인 표현을 싫어한다. 승부욕과 리더십이 강하다. 목소리 톤이 높고 말의 속도가 비교적 빠르다. 행동은 활발하고 역동적이지만 생각이 깊고 속내를 쉽게 노출하지 않는다.",LCSI
531,"개방적이고 친화적이며 환경적응이 빠르다. 분위기를 주도하고 행사참여도가 높다. 웃 으면 스트레스를 받는다. 친한 척을 잘하고 야단 을 맞아도 오래 빠지지 않는다. 감정표현이 풍부하고 어휘구사력이 좋다. 장기적이고 반복적인 상황을 싫어한다. 사소한 것에도 맞장구치기를 좋아하며 유머감각이 있다. 침묵을 싫어하고 클로다는 말로 표현하는 능력 위철 쓴다. 심각한 상황을 싫어하고 확인과 마무리가 소홀하다. 개방성, 유머, 감정의 솔직성 등으로 인해 주변에 사람이 쉽게 모인다. 정서적으로 밝은 특성을 가지고 있다.",LCSI
532,"	유순하고 차분하며 배려를 잘한다. 남을 의식하고 주목받는 것을 싫어한다. 끼리끼리 잘 놀고 단짝이 있다. 자신을 적극적으로 드러내지 못하며 사람들과 친숙해지기까지 시간이 걸린다. 한 번 관계가 형성되면 스스럼없이 다하고 깊은 속마음을 나누고 싶어 한다. 다른 사람들의 말에 민감하고 말들과 안하고 피곤하다. 남의 얘기를 잘 들어준다. 분명한 표현을 하기 어려워하며 마음에 안 드는 경우에도 싫다는 말을 직접적으로 잘 못한다. 갈등을 못 견디라고 결정을 후회가 많다. 표현은 적지만 섬세하고 감수성이 높다.",LCSI
533,규칙과 원칙을 중시하며 논리적으로 잘 따진다. 말 수가 적고 글로 의사소통하기 좋아한다. 일대일 대화에는 쉽게 응하고 남의 얘기를 잘 듣는다. 시선 맞추기를 어려워하고 자세변화가 적다. 관심이 있는 부분 외에는 무관심하지만 전문적이고 논리적인 토론은 잘한다. 자기중심이 강하고 생각이 정리되기 전에는 행동하지 않는다. 과제를 잘해 오지만 발표는 하지 않는다. 융통성이 부족하고 비사교적이다. 수마음을 털어놓기 어려워하고 농담이나 잡담을 좋아하지 않는다. 족중적인 감정표출이 적고 충동을 잘 조절한다.,LCSI
534,쉬운 일보다는 도전적인 일이 더 좋다.,TCI
535,나를 좋지 않게 대했던 사람들과도 친하게 지낸다.,TCI
536,음악을 듣거나 산책을 할 때 그 속에 빠져들어 나 자신을 잊는다.,TCI
537,종종 실제보다 일이 더 어렵거나 위험할 것이라고 예상한다.,TCI
538,"내가 할 수 있는 한 더 잘 하고 싶기 때문에, 열심을 다해 나 자신을 몰아붙인다.",TCI
539,"주머니가 바닥날 때까지 돈을 쓰거나, 신용카드를 너무 많이 사용해서 빚을 지는 때가 있다.",TCI
540,내가 가지고 있는 많은 습관들은 내가 가진 목표를 달성하는 데 방해가 된다.,TCI
541,문제가 생기면 혼자서 해결하려 한다.,TCI
542,미래에 어떤 일이 잘못될까봐 자주 걱정한다.,TCI
543,별로 힘들지 않고 하루 종일 활동할 수 있다.,TCI
544,어려움에 처했거나 위기감을 필요로 하는 사람이 있을 때 도움을 준다.,TCI
545,처음 만난 사람과도 편안하게 대화하고 내 의견을 이야기할 수 있다.,TCI
546,새로운 일이 마음에 들어서 당장 시도해 보고 싶어진다.,TCI
547,"다른 아무 것도 눈에 들어오지 않을 정도로 어떤 일에 몰입하며, 때로 딴 세계에 있는 듯 보일 때가 있다.",TCI
548,종종 나 자신에게 불만을 느낀다.,TCI
549,내 생각을 받아들이지 않는 사람들을 참아내기가 힘들다.,TCI
550,"낯선 사람을 만날 때, 매우 수줍어하며 위축된다.",TCI
551,나의 야망과 열심 때문에 성공하는 때가 종종 있다.,TCI
552,나에게 잘못을 저지른 사람들을 쉽게 용서하는 편이다.,TCI
553,다른 사람들과 거리를 두고 떨어져 지내는 것이 좋다.,TCI
554,어떤 일을 할 때 과거에 어떻게 했었는지는 생각하지 않고 현재의 느낌에 따라 행동한다.,TCI
555,내게만 좋은 일이 생기거나 내가 잘못을 하는 상상을 자주 한다.,TCI
556,종교적이거나 영적인 경험이 내 인생의 바른 길을 찾는 데 도움을 주었다.,TCI
557,때로 다른 사람을 악으로 본 적이 있다.,TCI
558,다른 사람들에 비해 더 완벽주의적이다.,TCI
559,고민이 있으면 친구에게 얘기하고 싶어 한다.,TCI
560,"의심이 많은 편이어서, 주변 사람들은 일이 다 잘 될 거라고 해도 어떤 일을 계속 진행하기가 두렵다.",TCI
561,나에게 손해가 된다 해도 정직한 것이 더 좋다.,TCI
562,나에게는 약점이 너무 많아서 나 자신을 별로 좋아하지 않는다.,TCI
563,다른 사람들이 기분 좋아지도록 챙기는 편이다.,TCI
564,"잘 모르는 사람들에 대한 자신감이 부족하기 때문에, 낯선 사람 만나는 것을 꺼린다.",TCI
565,"어떤 생각이 떠오르면, 즉시 실행에 옮기고 싶다.",TCI
566,"어떤 결정을 내릴 때, 정의나 정직과 같은 기본적인 것들이 중요한 역할을 한다.",TCI
567,인생에서 겪는 많은 일들을 이겨낼 수 있는 좋은 습관과 능력을 개발하였다.,TCI
568,사람들이 나에게 기대하는 것보다 더 많은 것을 성취하는 때가 종종 있다.,TCI
569,나에게 상처를 준 사람에게는 갚아 주려 한다.,TCI
570,"말로 표현할 수는 없지만, 내가 다른 사람들과 영적으로 연결되어 있다고 느낀 때가 있다.",TCI
571,문제를 어떻게 해결해야 할지 막막하기만 한 때가 자주 있다.,TCI
572,잘 모르는 사람들에게도 내 자신을 금방 드러내는 편이다.,TCI
573,어떤 일에 실패하면 더 잘해야겠다고 결심하게 된다.,TCI
574,"낯선 사람들을 만날 때, 비록 그들이 우호적이지 않다고 들었어도, 별로 긴장하지 않고 활발하게 행동한다.",TCI
575,어려운 상황에 부딪치면 이를 도전이나 기회로 받아들이는 편이다.,TCI
576,돈을 저축하기보다는 있는 대로 쓰는 편이다.,TCI
577,친구들과 함께 있을 때에도 내 감정을 드러내는 것을 원치 않는다.,TCI
578,"위험을 예측할 수 없을 때에는, 새로운 일을 시도하지 않고 있던 그대로 놔두는 편이다.",TCI
579,"다른 사람에게 잘못을 했거나 실수를 했을 경우, 그것을 사과한다.",TCI
580,"쉽게 지치고 피곤해져서, 힘이 없다고 느껴지는 때가 많다.",TCI
581,"나 자신이 어떤 신위의 존재(예: 인류, 자연)의 일부인 것 같은 분명한 느낌이 들 때가 있다.",TCI
582,다른 사람을 진심으로 이해하기 위해서 내가 그 사람의 입장이 되어 보려고 노력한다.,TCI
583,계획했던 일을 추진하기 위해 내 자신의 힘을 한데 모으기 힘들 때가 종종 있다.,TCI
584,"다른 사람들은 시간 낭비라고 생각하는 일이라도, 새로운 일이면 재미 삼아 해본다.",TCI
585,내 의지와는 상관없이 주변 상황 때문에 어쩔 수 없이 어떤 일을 하게 되는 경우가 종종 있다.,TCI
586,"어떤 방식으로든 나 자신이 나이나 성별, 인종에 관계없이 모든 인류와 연결되어 있다고 느낀다.",TCI
587,지칠 때까지 내 자신을 몰아붙이거나 내가 실제로 할 수 있는 것 이상으로 노력할 때가 종종 있다.,TCI
588,불길했을 때 그 상황에서 빠져나오기 위해 쉽게 둘러대는 편이다.,TCI
589,다른 사람의 감정에 귀를 기울이는 편이다.,TCI
590,"첫 시도에서 어떤 일이 성공하지 못하면, 다시 도전하고 싶어진다.",TCI
591,뭔가 갖고 싶은 것이 생기면 당장 가지려고 한다.,TCI
592,"내 방식대로 일을 하고 싶어해서, 다른 사람들과 마찰을 빚거나 안 좋은 분위기를 만들곤 한다.",TCI
593,"다른 사람은 전혀 위험하다고 느끼지 않아도, 낯선 상황에서는 긴장하고 걱정하게 된다.",TCI
594,종종 내가 주변 상황의 희생양이라는 느낌이 든다.,TCI
595,공평과 진실은 내게 그리 중요하지 않다.,TCI
596,다른 사람의 생각을 잘 이해하는 편이다.,TCI
597,새로운 일이나 익숙하지 않은 일을 해야 할 때에는 긴장하고 걱정한다.,TCI
598,듣기지 않을 수만 있다면 법이나 규칙을 어기기도 한다.,TCI
599,눈에 보이는 듯 생생한 상상을 한다.,TCI
600,나는 매우 야심적인 사람이다.,TCI
601,모든 생명체를 연결시키는 어떤 초자연적인 힘이 있다고 믿는다.,TCI
602,삶의 재미를 위해 돈을 쓰기보다는 저축하는 것이 더 좋다.,TCI
603,"어떤 일에 너무 깊이 몰입한 나머지, 시간이 한참 지난 후에야 정신이 드는 경우가 있다.",TCI
604,누군가 울거나 고통스러워 하는 것을 보면 마음이 쉽게 움직인다.,TCI
605,"어떤 일을 할 때, 새로운 방식으로 시도해 보는 것을 좋아한다.",TCI
606,내 삶이 다른 사람들로 인해 좌지우지될 때가 많다.,TCI
607,내 인생을 어떤 방향으로 이끌어 가야 할지 정확하게 모를 때가 종종 있다.,TCI
608,어떤 결정을 내려야 할 때에는 친구들과 먼저 상의하려 한다.,TCI
609,즉흥적으로 뭔가 새로운 일이나 낯선 일을 해보는 것을 좋아한다.,TCI
610,결심이 너무 굳건해서 다른 사람들은 이미 다 포기한 후에도 그 일을 지속하는 편이다.,TCI
611,사람들은 도움이나 이해를 구하려고 쉽게 내게 다가온다.,TCI
612,어떤 정신적인 힘이 나를 도와준 적이 있다고 믿는다.,TCI
613,다른 사람들이 나(또는 내가 원하는 방식을) 좋아하든 좋아하지 않든 별로 상관하지 않는다.,TCI
614,다른 사람들에게 도움을 주는 것을 좋아한다.,TCI
615,사소한 병이나 스트레스로부터 쉽게 회복한다.,TCI
616,어떤 일이 너무 위험해 보여서 그 일을 하지 못한 때가 종종 있다.,TCI
617,"내가 이해할 수는 없지만, 모든 것에는 어떤 의미가 있을 것이라고 믿는다.",TCI
618,"어떤 일에 너무 흥미를 느낀 나머지, 시간이 어떻게 가는지 모를 때가 있다.",TCI
619,나와 다른 방식으로 일하는 사람을 보면 답답하다.,TCI
620,내가 인생에서 무엇을 원하는지 알고 있다.,TCI
621,내 모습이 실제의 내 모습과는 많이 달랐으면 좋겠다.,TCI
622,어떤 문제에 대한 최선의 해결책을 찾기 전까지는 포기하지 않는다.,TCI
623,낯선 사람들 앞에서 전혀 수줍어하지 않는다.,TCI
624,위험을 감수하는 것을 좋아한다.,TCI
625,내 인생은 별다른 목표나 의미가 없는 것처럼 느껴지는 때가 종종 있다.,TCI
626,나와 다른 생각을 가지고 있는 사람들을 좋아하지 않는 편이다.,TCI
627,새로운 일이나 아이디어에 대해서 흥미를 느끼는 데 시간이 오래 걸린다.,TCI
628,때로 내 삶이 어떤 초자연적인 힘에 의해 인도되거나 영향을 받고 있는 것처럼 느껴진다.,TCI
629,다른 사람들이 나를 좋아하지 않으면 쉽게 상처를 입는다.,TCI
630,기분 내키는 대로 즉흥적으로 결정하는 편이다.,TCI
631,내가 최선을 다한다면 어떤 일도 그리 어렵지 않다.,TCI
632,내 경험이나 감정을 혼자 간직하거나 감추기보다는 친구들과 함께 나누는 편이다.,TCI
633,나와 생각이나 가치관이 다른 사람들을 쉽게 용서할 수 있다.,TCI
634,비관적인 편이다.,TCI
635,아무리 원수라고 해도 그에게 나쁜 일이 일어나기를 바라지 않는다.,TCI
636,내가 원하는 인생의 방향에 대해 분명히 알고 있다.,TCI
637,다른 사람들이 나와 감정적으로 쉽게 가까워진다.,TCI
638,중요한 변화를 시도하거나 지속할 만한 힘이나 에너지가 부족하다.,TCI
639,"다른 사람이 문제를 해결할 수 있도록 도와줌으로써, 그 사람이 더 나아지는 데서 기쁨을 느낀다.",TCI
640,하기 쉬운 일조차도 시작하는 게 더딘 편이다.,TCI
641,다른 사람들과 친해지는 데 시간이 오래 걸린다.,TCI
642,"하던 일을 멈추고, 어떤 일이 잘못될까봐 걱정하기 시작하는 때가 종종 있다.",TCI
643,고치고 싶은 나쁜 습관들이 많다.,TCI
644,내가 하는 모든 일에서 최고가 되고 싶다.,TCI
645,다른 사람들에게 내 감정을 잘 이야기한다.,TCI
646,모든 생명체는 과학적으로 설명할 수 없는 어떤 초감각적인 힘에 의존하는 것이라고 믿는다.,TCI
647,뭔가를 힘들여 노력하고 싶지 않을 때가 자주 있다.,TCI
648,다른 사람의 감정을 잘 이해한다.,TCI
649,나는 매우 충동적인 사람이다.,TCI
650,"내가 원하는 목표에 도달할 수 있다면, 다른 사람의 고통에는 별로 개의치 않는다.",TCI
651,아무리 어려운 일이라도 빨리 시작하려고 한다.,TCI
652,문제가 생기면 남에게 기대하지 않고 혼자 간처하는 편이다.,TCI
653,얼굴을 붉히지 않고도 거짓말을 할 수 있다.,TCI
654,"만물이 마치 공통의 생명 과정의 일부인 것처럼, 나 자신이 환경과 연결되어 있다고 느낄 때가 있다.",TCI
655,내가 하고 싶은 대로 선택할 수 있는 자유가 별로 없다고 느낀다.,TCI
656,친구들이 부탁하더라도 내 의견이나 행동을 잘 바꾸지 않는다.,TCI
657,"의지력이 너무 약해서, 안 좋은 결과가 예상되어도 강한 유혹을 뿌리치기가 힘들다.",TCI
658,"문제가 생겼을 때, 이를 어떻게 해결해야 할지에 대한 좋은 아이디어가 있다.",TCI
659,"내가 다른 사람들과 서로 강하게 연결되어 있어서, 그 어떤 것도 우리를 떼어놓을 수 없을 것처럼 느낄 때가 있다.",TCI
660,사람들은 나에게 자신의 감정을 자주 토로한다.,TCI
661,대개는 꼭 해야 하는 일만 마지못해 한다.,TCI
662,다른 사람들과 너무 가까워지는 것을 좋아하지 않는다.,TCI
663,"모든 세부 사항들을 여러모로 고려하기보다는, 본능이나 직감에 따라 행동한다.",TCI
664,때로 시공간의 제약을 잊고 마치 나 자신이 어떤 것의 일부인 것처럼 느낄 때가 있다.,TCI
665,내게 할 일이 있을 때라도 남을 기꺼이 도와준다.,TCI
666,어떤 일을 시작하기 전에 꾸물거리는 편이다.,TCI
667,실제로 필요한 것 이상으로 쇼핑을 많이 한다.,TCI
668,얘기를 더 재미있게 하기 위해서 진실을 과장하거나 다소 왜곡하기도 한다.,TCI
669,어려운 일일수록 더 좋아한다.,TCI
670,다른 사람들의 감정에 쉽게 마음이 움직인다.,TCI
671,내 스스로 나를 위한 결정을 내릴 수 있다.,TCI
672,내가 하는 모든 일에서 남들보다 뛰어나고 싶다.,TCI
673,"사소한 병이나 스트레스를 겪은 후에, 쉽게 자신감과 에너지를 회복한다.",TCI
674,나는 사람들과 함께 있으려고 한다.,FIRO-B
675,나는 다른 사람들이 무엇을 할지 결정하도록 맡긴다.,FIRO-B
676,나는 사회적 모임에 참여한다.,FIRO-B
677,나는 사람들과 친밀한 관계를 가지려고 한다.,FIRO-B
678,기회가 있을 때 사회 조직에 참여하는 편이다.,FIRO-B
679,나는 다른 사람들이 내 행동에 강하게 영향을 미치도록 둔다.,FIRO-B
680,나는 비공식적인 사회 활동에 포함되려고 한다.,FIRO-B
681,나는 사람들과 깊고 개인적인 관계를 가지려고 한다.,FIRO-B
682,나는 내 활동에 다른 사람을 포함시키려고 한다.,FIRO-B
683,나는 다른 사람들이 내 행동을 통제하도록 둔다.,FIRO-B
684,나는 주변에 사람들이 있는 것을 좋아한다.,FIRO-B
685,나는 사람들과 가깝고 개인적으로 지내려고 한다.,FIRO-B
686,사람들이 함께 무언가를 하면 나는 그들 속에 끼는 편이다.,FIRO-B
687,나는 사람들에게 쉽게 이끌린다.,FIRO-B
688,나는 혼자 있는 것을 피하려 한다.,FIRO-B
689,나는 그룹 활동에 참여하려 한다.,FIRO-B
690,나는 사람들에게 친절하게 대해 주려 한다.,FIRO-B
691,나는 다른 사람들이 내가 무엇을 할지 결정하도록 둔다.,FIRO-B
692,나는 다른 사람들과의 개인적 관계가 다소 차갑고 거리를 둔다.,FIRO-B
693,나는 다른 사람들에게 일의 주도권을 맡긴다.,FIRO-B
694,나는 사람들과 친밀한 관계를 가지려고 한다.,FIRO-B
695,나는 다른 사람들이 내 행동에 강하게 영향을 미치도록 둔다.,FIRO-B
696,나는 사람들과 가깝고 개인적으로 지내려고 한다.,FIRO-B
697,나는 사람들에게 차갑고 거리를 두고 행동한다.,FIRO-B
698,나는 다른 사람들이 내 행동을 통제하도록 둔다.,FIRO-B
699,나는 사람들에게 쉽게 이끌린다.,FIRO-B
700,나는 사람들과 깊고 개인적인 관계를 가지려고 한다.,FIRO-B
701,나는 사람들이 나를 무언가에 초대해 주길 좋아한다.,FIRO-B
702,나는 사람들이 나에게 친밀하게 행동하길 좋아한다.,FIRO-B
703,나는 다른 사람들의 행동에 강하게 영향을 미치려고 한다.,FIRO-B
704,나는 사람들이 나를 활동에 초대해 주길 좋아한다.,FIRO-B
705,나는 사람들이 나에게 가깝게 행동하길 좋아한다.,FIRO-B
706,나는 사람들과 있을 때 일을 주도하려고 한다.,FIRO-B
707,나는 사람들이 나를 그들의 활동에 포함해 주길 좋아한다.,FIRO-B
708,나는 사람들과 있을 때 주도적인 사람이 되려고 한다.,FIRO-B
709,나는 사람들이 나에게 이것저것 하자고 초대하는 것을 좋아한다.,FIRO-B
710,나는 사람들이 나에게 친밀하게 행동하길 좋아한다.,FIRO-B
711,나는 다른 사람들에게 내가 원하는 일을 하도록 하려 한다.,FIRO-B
712,나는 사람들이 활동에 나를 초대해 주길 좋아한다.,FIRO-B
713,나는 사람들이 나에게 차갑고 거리를 두는 행동을 하는 것을 좋아한다.,FIRO-B
714,나는 다른 사람들의 행동에 강하게 영향을 미치려고 한다.,FIRO-B
715,나는 사람들이 나에게 친밀하게 행동하길 좋아한다.,FIRO-B
716,나는 사회 조직에 참여하는 경향이 있다.,FIRO-B
717,나는 친밀한 개인적 관계를 피하는 편이다.,FIRO-B
718,나는 사람들이 내 방식대로 일을 하도록 하려 한다.,FIRO-B
719,나는 사람들에게 차갑고 거리를 두고 행동한다.,FIRO-B
720,나는 사람들이 나를 위해 무언가 해 주는 것을 좋아한다.,FIRO-B
